S.Word,Variation,Source,Start,End,Duration,ClipName,ClipStart,ClipEnd,ClipDuration
muy mal,1,Lista-C,01:24.160,01:27.520,3.36,muy_mal.mp4,01:23.680,01:28.000,4.32
nada,1,Lista-C,01:33.880,01:37.600,3.72,nada.mp4,01:33.400,01:38.080,4.68
nada,2,Lista-C,01:38.360,01:42.440,4.08,nada_2.mp4,01:37.880,01:42.920,5.04
negro,1,Lista-C,01:43.360,01:47.560,4.2,negro.mp4,01:42.880,01:48.040,5.16
niños,1,Lista-C,01:48.400,01:51.920,3.52,ninos.mp4,01:47.920,01:52.400,4.48
no,1,Lista-C,01:52.640,01:55.960,3.32,no.mp4,01:52.160,01:56.440,4.28
noche,1,Lista-C,01:56.680,02:00.240,3.56,noche.mp4,01:56.200,02:00.720,4.52
nombre,1,Lista-C,02:01.120,02:04.520,3.4,nombre.mp4,02:00.640,02:05.000,4.36
nuevo,1,Lista-C,02:05.360,02:08.680,3.32,nuevo.mp4,02:04.880,02:09.160,4.28
números,1,Lista-C,02:09.480,02:13.200,3.72,numeros.mp4,02:09.000,02:13.680,4.68
nunca,1,Lista-C,02:13.840,02:17.360,3.52,nunca.mp4,02:13.360,02:17.840,4.48
ojo,1,Lista-C,02:18.120,02:21.880,3.76,ojo.mp4,02:17.640,02:22.360,4.72
ojo,2,Lista-C,02:22.560,02:26.320,3.76,ojo_2.mp4,02:22.080,02:26.800,4.72
padre,1,Lista-C,02:27.080,02:30.480,3.4,padre.mp4,02:26.600,02:30.960,4.36
padres,1,Lista-C,02:31.400,02:35.160,3.76,padres.mp4,02:30.920,02:35.640,4.72
país,1,Lista-C,02:35.920,02:39.840,3.92,pais.mp4,02:35.440,02:40.320,4.88
pan,1,Lista-C,02:40.320,02:43.920,3.6,pan.mp4,02:39.840,02:44.400,4.56
papel,1,Lista-C,02:44.840,02:48.600,3.76,papel.mp4,02:44.360,02:49.080,4.72
pasado,1,Lista-C,02:49.440,02:53.160,3.72,pasado.mp4,02:48.960,02:53.640,4.68
payaso,1,Lista-C,02:54.160,02:57.840,3.68,payaso.mp4,02:53.680,02:58.320,4.64
paz,1,Lista-C,02:59.280,03:03.880,4.6,paz.mp4,02:58.800,03:04.360,5.56
pelea,1,Lista-C,03:04.760,03:09.080,4.32,pelea.mp4,03:04.280,03:09.560,5.28
pelo,1,Lista-C,03:14.600,03:18.400,3.8,pelo.mp4,03:14.120,03:18.880,4.76
pelota,1,Lista-C,03:09.920,03:13.440,3.52,pelota.mp4,03:09.440,03:13.920,4.48
pensar,1,Lista-C,03:19.120,03:22.880,3.76,pensar.mp4,03:18.640,03:23.360,4.72
perdón,1,Lista-C,03:23.520,03:27.240,3.72,perdon.mp4,03:23.040,03:27.720,4.68
perro,1,Lista-C,03:28.080,03:31.720,3.64,perro.mp4,03:27.600,03:32.200,4.6
persona,1,Lista-C,03:32.400,03:35.600,3.2,persona.mp4,03:31.920,03:36.080,4.16
personas,1,Lista-C,03:36.040,03:39.720,3.68,personas.mp4,03:35.560,03:40.200,4.64
pez,1,Lista-C,03:40.720,03:44.120,3.4,pez.mp4,03:40.240,03:44.600,4.36
pobre,1,Lista-C,03:45.360,03:49.080,3.72,pobre.mp4,03:44.880,03:49.560,4.68
poco,1,Lista-C,03:50.000,03:53.400,3.4,poco.mp4,03:49.520,03:53.880,4.36
poder,1,Lista-C,03:54.400,03:58.000,3.6,poder.mp4,03:53.920,03:58.480,4.56
policía,1,Lista-C,03:58.680,04:02.520,3.84,policia.mp4,03:58.200,04:03.000,4.8
política,1,Lista-C,04:03.000,04:07.000,4,politica.mp4,04:02.520,04:07.480,4.96
por favor,1,Lista-C,04:07.520,04:11.240,3.72,por_favor.mp4,04:07.040,04:11.720,4.68
por supuesto,1,Lista-C,04:11.640,04:15.040,3.4,por_supuesto.mp4,04:11.160,04:15.520,4.36
pregunta,1,Lista-C,04:15.400,04:19.440,4.04,pregunta.mp4,04:14.920,04:19.920,5
preocupado,1,Lista-C,04:19.680,04:24.000,4.32,preocupado.mp4,04:19.200,04:24.480,5.28
punto,1,Lista-C,04:29.200,04:32.680,3.48,punto.mp4,04:28.720,04:33.160,4.44
radio,1,Lista-D,00:01.760,00:05.360,3.6,radio.mp4,00:01.280,00:05.840,4.56
rápido,1,Lista-D,00:06.400,00:09.640,3.24,rapido.mp4,00:05.920,00:10.120,4.2
red de pesca,1,Lista-D,00:10.440,00:14.920,4.48,red_de_pesca.mp4,00:09.960,00:15.400,5.44
relajarse,1,Lista-D,00:15.800,00:19.440,3.64,relajarse.mp4,00:15.320,00:19.920,4.6
remera,1,Lista-D,00:20.520,00:24.360,3.84,remera.mp4,00:20.040,00:24.840,4.8
responsabilidad,1,Lista-D,00:25.480,00:29.040,3.56,responsabilidad.mp4,00:25.000,00:29.520,4.52
rey,1,Lista-D,00:29.720,00:33.840,4.12,rey.mp4,00:29.240,00:34.320,5.08
risa,1,Lista-D,00:34.680,00:38.480,3.8,risa.mp4,00:34.200,00:38.960,4.76
rojo,1,Lista-D,00:39.400,00:43.240,3.84,rojo.mp4,00:38.920,00:43.720,4.8
romper,1,Lista-D,00:43.720,00:47.320,3.6,romper.mp4,00:43.240,00:47.800,4.56
romper,2,Lista-D,00:47.880,00:51.880,4,romper_2.mp4,00:47.400,00:52.360,4.96
sábado,1,Lista-D,00:52.600,00:56.320,3.72,sabado.mp4,00:52.120,00:56.800,4.68
saber,1,Lista-D,00:57.120,01:00.760,3.64,saber.mp4,00:56.640,01:01.240,4.6
